"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2020","4.37","4.29","4.51","4.29","28.74M","3.55%"
"Aug 10, 2020","4.22","3.84","4.22","3.65","72.05M","9.90%"
"Aug 07, 2020","3.84","3.43","3.87","3.24","65.96M","6.96%"
"Aug 06, 2020","3.59","3.97","3.98","3.59","42.31M","-9.80%"
"Aug 05, 2020","3.98","4.07","4.12","3.87","36.80M","-1.00%"
"Aug 04, 2020","4.02","4.34","4.39","3.83","38.08M","-5.41%"
"Jul 30, 2020","4.25","4.40","4.41","4.25","16.10M","-2.07%"
"Jul 29, 2020","4.34","4.32","4.40","4.11","50.00M","2.12%"
"Jul 28, 2020","4.25","4.60","4.70","4.24","82.47M","-7.41%"
"Jul 27, 2020","4.59","4.63","4.76","4.56","43.41M","0.66%"
"Jul 24, 2020","4.56","4.42","4.62","4.39","59.28M","1.33%"
"Jul 23, 2020","4.50","4.65","4.73","4.50","73.23M","-2.60%"
"Jul 22, 2020","4.62","4.71","4.96","4.48","153.62M","-0.86%"
"Jul 21, 2020","4.66","4.36","4.75","4.35","219.46M","7.87%"
"Jul 20, 2020","4.32","4.08","4.41","4.08","155.64M","6.40%"
"Jul 17, 2020","4.06","4.05","4.10","3.98","38.52M","0.74%"
"Jul 16, 2020","4.03","4.08","4.13","4.00","26.29M","1.00%"
"Jul 14, 2020","3.99","4.09","4.22","3.95","45.38M","-1.97%"
"Jul 13, 2020","4.07","3.80","4.07","3.80","39.73M","9.41%"
"Jul 10, 2020","3.72","3.78","3.78","3.55","32.69M","-1.59%"
"Jul 09, 2020","3.78","4.07","4.14","3.76","45.89M","-6.67%"
"Jul 08, 2020","4.05","4.26","4.28","4.05","41.47M","-4.71%"
"Jul 07, 2020","4.25","4.15","4.41","3.95","112.87M","2.91%"
"Jul 06, 2020","4.13","3.87","4.16","3.86","95.97M","8.40%"
"Jul 03, 2020","3.81","3.78","3.95","3.78","63.17M","1.06%"
"Jul 02, 2020","3.77","3.71","3.99","3.64","156.57M","3.01%"
"Jul 01, 2020","3.66","3.36","3.66","3.31","179.03M","9.91%"
"Jun 30, 2020","3.33","3.25","3.39","3.22","91.70M","2.46%"
"Jun 29, 2020","3.25","3.10","3.32","3.08","126.42M","5.86%"
"Jun 26, 2020","3.07","3.06","3.12","3.05","33.46M","0.99%"
"Jun 25, 2020","3.04","3.07","3.08","3.01","24.20M","-0.98%"
"Jun 24, 2020","3.07","3.13","3.15","3.06","34.55M","-1.60%"
"Jun 23, 2020","3.12","3.18","3.21","3.09","54.48M","-1.27%"
"Jun 22, 2020","3.16","3.08","3.22","3.04","197.86M","4.98%"
"Jun 19, 2020","3.01","3.09","3.12","3.01","59.43M","-1.95%"
"Jun 18, 2020","3.07","2.99","3.11","2.99","81.27M","3.02%"
"Jun 17, 2020","2.98","3.04","3.06","2.98","30.71M","-1.32%"
"Jun 16, 2020","3.02","3.03","3.10","3.00","69.26M","1.00%"
"Jun 15, 2020","2.99","2.89","3.09","2.88","140.15M","2.75%"
"Jun 12, 2020","2.91","2.86","2.93","2.84","25.67M","1.04%"
"Jun 11, 2020","2.88","2.88","2.94","2.87","26.04M","-1.03%"
"Jun 10, 2020","2.91","2.90","2.97","2.90","43.42M","1.04%"
"Jun 09, 2020","2.88","2.86","2.88","2.81","16.40M","1.05%"
"Jun 08, 2020","2.85","2.89","2.94","2.82","24.45M","-1.04%"
"Jun 05, 2020","2.88","2.93","2.94","2.88","21.22M","-1.37%"
"Jun 04, 2020","2.92","3.00","3.01","2.90","36.42M","-1.35%"
"Jun 03, 2020","2.96","2.97","3.07","2.93","109.88M","0.34%"
"Jun 02, 2020","2.95","2.85","3.07","2.79","238.89M","4.61%"
"Jun 01, 2020","2.82","2.78","2.85","2.75","66.37M","2.55%"
"May 29, 2020","2.75","2.74","2.81","2.74","30.60M","0.36%"
"May 28, 2020","2.74","2.78","2.79","2.73","20.56M","-0.72%"
"May 27, 2020","2.76","2.79","2.82","2.76","20.52M","0.00%"
"May 22, 2020","2.76","2.77","2.79","2.74","16.48M","-0.36%"
"May 21, 2020","2.77","2.88","2.88","2.77","30.69M","-3.48%"
"May 20, 2020","2.87","2.82","2.93","2.80","84.10M","2.87%"
"May 18, 2020","2.79","2.76","2.87","2.75","96.89M","2.57%"
"May 15, 2020","2.72","2.74","2.78","2.72","31.77M","0.74%"
"May 14, 2020","2.70","2.75","2.82","2.68","42.03M","-2.17%"
"May 13, 2020","2.76","2.76","2.81","2.76","42.30M","0.00%"
"May 12, 2020","2.76","2.81","2.84","2.75","45.03M","-2.13%"
"May 11, 2020","2.82","2.90","2.95","2.81","62.95M","-1.05%"
"May 08, 2020","2.85","2.80","2.94","2.78","219.62M","2.52%"
"May 07, 2020","2.78","2.76","2.87","2.72","73.20M","1.83%"
"May 06, 2020","2.73","2.79","2.87","2.66","93.50M","-1.80%"
"May 05, 2020","2.78","3.06","3.19","2.65","156.90M","-5.44%"
"May 04, 2020","2.94","2.70","2.94","2.69","86.16M","9.70%"
"Apr 30, 2020","2.68","2.56","2.77","2.53","221.49M","5.51%"
"Apr 29, 2020","2.54","2.54","2.56","2.52","19.10M","0.79%"
"Apr 28, 2020","2.52","2.54","2.59","2.50","37.54M","0.00%"
"Apr 27, 2020","2.52","2.55","2.56","2.51","28.66M","0.00%"
"Apr 24, 2020","2.52","2.52","2.59","2.49","39.27M","0.80%"
"Apr 22, 2020","2.50","2.46","2.58","2.44","36.40M","2.46%"
"Apr 21, 2020","2.44","2.54","2.54","2.42","23.43M","-3.94%"
"Apr 20, 2020","2.54","2.67","2.70","2.54","38.83M","-4.15%"
"Apr 17, 2020","2.65","2.71","2.87","2.58","94.64M","0.00%"
"Apr 16, 2020","2.65","2.65","2.65","2.30","62.57M","9.84%"
"Apr 15, 2020","2.41","2.25","2.41","2.12","61.99M","9.92%"
"Apr 14, 2020","2.19","2.19","2.24","2.18","18.63M","1.51%"
"Apr 13, 2020","2.16","2.16","2.21","2.15","12.19M","-0.83%"
"Apr 10, 2020","2.18","2.19","2.25","2.15","23.50M","0.67%"
"Apr 09, 2020","2.17","2.18","2.22","2.14","20.39M","0.00%"
"Apr 08, 2020","2.17","2.10","2.22","2.04","37.91M","3.10%"
"Apr 07, 2020","2.10","2.20","2.31","2.09","57.59M","-3.01%"
"Apr 06, 2020","2.17","2.17","2.17","2.05","32.44M","9.93%"
"Apr 03, 2020","1.97","1.94","1.97","1.91","7.12M","9.90%"
"Apr 02, 2020","1.80","1.79","1.88","1.76","48.99M","2.06%"
"Apr 01, 2020","1.76","1.76","1.82","1.74","17.62M","-2.22%"
